"date","pressure","wind","temperature"
2016-12-01 07:00:00,1010.3,7,22.16
2016-12-01 07:10:00,1010.3,7,21.78
2016-12-01 07:20:00,1010.2,6,21.44
2016-12-01 07:30:00,1010.2,7,21.83
2016-12-01 07:40:00,1010.1,7,21.5
2016-12-01 07:50:00,1010,7,21.4
2016-12-01 08:00:00,1009.9,8,20.78
2016-12-01 08:10:00,1009.9,8,20.8
2016-12-01 08:20:00,1009.9,7,20.85
2016-12-01 08:30:00,1009.8,7,20.64
2016-12-01 08:40:00,1009.8,7,20.86
2016-12-01 08:50:00,1009.8,7,20.57
2016-12-01 09:00:00,1009.7,6,20.87
2016-12-01 09:10:00,1009.7,7,20.48
2016-12-01 09:20:00,1009.6,6,20.03
2016-12-01 09:30:00,1009.7,7,20.27
2016-12-01 09:40:00,1009.6,7,19.85
2016-12-01 09:50:00,1009.7,7,20.05
2016-12-01 10:00:00,1009.7,7,19.61
2016-12-01 10:10:00,1009.7,6,19.37
2016-12-01 10:20:00,1009.8,6,19.16
2016-12-01 10:30:00,1009.9,6,18.93
2016-12-01 10:40:00,1010,6,18.79
2016-12-01 10:50:00,1010.1,5,18.61
2016-12-01 11:00:00,1010.1,5,18.42
2016-12-01 11:10:00,1010.2,4,18.24
2016-12-01 11:20:00,1010.2,5,18.12
2016-12-01 11:30:00,1010.2,5,18.12
2016-12-01 11:40:00,1010.2,5,17.99
2016-12-01 11:50:00,1010.2,5,17.94
2016-12-01 12:00:00,1010.2,4,17.83
2016-12-01 12:10:00,1010.3,4,17.8
2016-12-01 12:20:00,1010.3,3,17.63
2016-12-01 12:30:00,1010.3,3,17.5
2016-12-01 12:40:00,1010.3,4,17.64
2016-12-01 12:50:00,1010.3,3,17.52
2016-12-01 13:00:00,1010.3,4,17.52
2016-12-01 13:10:00,1010.3,4,17.53
2016-12-01 13:20:00,1010.3,4,17.51
2016-12-01 13:30:00,1010.2,4,17.51
2016-12-01 13:40:00,1010.2,3,17.28
2016-12-01 13:50:00,1010.2,3,17.22
2016-12-01 14:00:00,1010.1,4,17.02
2016-12-01 14:10:00,1010.1,4,17.01
2016-12-01 14:20:00,1010.1,4,16.83
2016-12-01 14:30:00,1010.1,5,16.54
2016-12-01 14:40:00,1010,5,16.42
2016-12-01 14:50:00,1010,5,16.3
2016-12-01 15:00:00,1009.9,5,16.14
2016-12-01 15:10:00,1009.8,6,16.1
2016-12-01 15:20:00,1009.7,6,16.04
